comp,normed_rescaled_cond,radius_um,angle_rad,intensity_mWPERmm2
12876_0.9999999991809894,0.2421306846784597,0.0,0.0,2.187578125
12877_0.9999999991809696,0.225984107663772,0.0,0.0,2.187578125
12878_0.9999999991810031,0.2113406012769925,0.0,0.0,2.187578125
12879_0.9999999991810055,0.1962561052888554,0.0,0.0,2.187578125
12880_0.99999999918097,0.1831450974726596,0.0,0.0,2.187578125
12881_0.9999999991810002,0.172504970947367,0.0,0.0,2.187578125
12882_0.9999999991809831,0.160660281131607,0.0,0.0,2.187578125
12883_0.9999999991809888,0.1500593104711303,0.0,0.0,2.187578125
12884_0.9999999991810148,0.1385048749442196,0.0,0.0,2.187578125
12885_0.9999999991809718,0.1258351681437522,0.0,0.0,2.187578125
12886_0.9999999991809817,0.1136448491298922,0.0,0.0,2.187578125
12887_0.9999999991810005,0.1031419875688258,0.0,0.0,2.187578125
12888_0.9999999991810015,0.0927115923681724,0.0,0.0,2.187578125
12889_0.9999999991809838,0.0840109353212508,0.0,0.0,2.187578125
12909_0.9999999968438892,0.1878087388386065,0.0,0.0,2.187578125
12920_0.9999999961867804,0.1449188843643437,0.0,0.0,2.187578125
13007_0.9999999962778123,0.0720270742092318,0.0,0.0,2.187578125
13019_0.9999999977297724,0.3335199585756838,0.0,0.0,2.187578125
13045_0.9999999965960841,0.071193906900862,0.0,0.0,2.187578125
13075_0.9999999970210098,0.0800599777477422,0.0,0.0,2.187578125
13107_0.9999999990022697,0.3263826446608369,0.0,0.0,2.187578125
13108_0.9999999990023779,0.3237385028624253,0.0,0.0,2.187578125
13109_0.9999999990022971,0.3202306794106374,0.0,0.0,2.187578125
13110_0.9999999990023996,0.3157398469372635,0.0,0.0,2.187578125
13111_0.9999999990023247,0.3088727762120933,0.0,0.0,2.187578125
13112_0.9999999990023372,0.3005256340735158,0.0,0.0,2.187578125
13113_0.9999999990023557,0.2930620622017862,0.0,0.0,2.187578125
13114_0.9999999990023349,0.2879488182084561,0.0,0.0,2.187578125
13115_0.9999999990023525,0.2817795968242956,0.0,0.0,2.187578125
13116_0.9999999990022929,0.2748372139782515,0.0,0.0,2.187578125
13215_0.9999999972044571,0.1413550780503102,0.0,0.0,2.187578125
13236_0.9999999956471896,0.2853345176852468,0.0,0.0,2.187578125
13243_0.9999999967706539,0.3818259251530482,0.0,0.0,2.187578125
13251_0.9999999969373744,0.3994179860949558,0.0,0.0,2.187578125
13268_0.9999995684683975,0.0028528110178033,0.0,0.0,2.187578125
13277_0.9999999963445977,0.1658852980445428,0.0,0.0,2.187578125
13284_0.9999999958152129,0.1451961260583512,0.0,0.0,2.187578125
13291_0.999999996397757,0.1680696698659023,0.0,0.0,2.187578125
13312_0.9999999962651355,0.4328325034138283,0.0,0.0,2.187578125
13325_0.9999999990422435,0.5357939039377739,0.0,0.0,2.187578125
13326_0.9999999990422428,0.5238769701916197,0.0,0.0,2.187578125
13327_0.9999999990422459,0.5095884871681785,0.0,0.0,2.187578125
13328_0.9999999990422208,0.4945337601513906,0.0,0.0,2.187578125
13329_0.9999999990422382,0.4765999079412601,0.0,0.0,2.187578125
13330_0.9999999990422765,0.4571063108655602,0.0,0.0,2.187578125
13345_0.9999999991507289,0.2618812430443817,0.0,0.0,2.187578125
13346_0.9999999991507325,0.2453995353743731,0.0,0.0,2.187578125
13347_0.9999999991507592,0.228314689438278,0.0,0.0,2.187578125
13348_0.9999999991506799,0.2108973608416456,0.0,0.0,2.187578125
13349_0.9999999991507416,0.1939940896433227,0.0,0.0,2.187578125
13350_0.9999999991507434,0.1780738848042362,0.0,0.0,2.187578125
13351_0.9999999991507453,0.1635701330744866,0.0,0.0,2.187578125
